time,MB,MC,MD,ME
8.737059,0.434652,0.3888,0.62528,0.55664
8.757059,0.434652,0.3888,0.62528,0.55664
8.777059,0.434652,0.3888,0.62528,0.55664
8.797059,0.434652,0.3888,0.62528,0.55664
8.817059,0.434652,0.3888,0.62528,0.55664
8.837059,0.434652,0.3888,0.62528,0.55664
8.857059,0.434652,0.3888,0.62528,0.55664
8.877059,0.434652,0.3888,0.62528,0.55664
8.897059,0.434652,0.3888,0.62528,0.55664
8.917059,0.434652,0.3888,0.62528,0.55664
8.937059,0.434652,0.3888,0.62528,0.55664
8.957059,0.434652,0.3888,0.62528,0.55664
8.977059,0.434652,0.3888,0.62528,0.55664
8.997059,0.434652,0.3888,0.62528,0.55664
9.017059,0.434652,0.3888,0.62528,0.55664
9.037059,0.434652,0.3888,0.62528,0.55664
9.057059,0.434652,0.3888,0.62528,0.55664
9.077059,0.434652,0.3888,0.62528,0.55664
9.097059,0.434652,0.3888,0.62528,0.55664
9.117059,0.434652,0.3888,0.62528,0.55664
9.137059,0.434652,0.3888,0.62528,0.55664
9.157059,0.434652,0.3888,0.62528,0.55664
9.177059,0.434652,0.3888,0.62528,0.55664
9.197059,0.434652,0.3888,0.62528,0.55664
9.217059,0.434652,0.3888,0.62528,0.55664
9.237059,0.434652,0.3888,0.62528,0.55664
9.257059,0.434652,0.3888,0.62528,0.55664
9.277059,0.434652,0.3888,0.62528,0.55664
9.297059,0.434652,0.3888,0.62528,0.55664
9.317059,0.434652,0.3888,0.62528,0.55664
9.337059,0.434652,0.3888,0.62528,0.55664
9.357059,0.434652,0.3888,0.62528,0.55664
9.377059,0.434652,0.3888,0.62528,0.55664
9.397059,0.434652,0.3888,0.62528,0.55664
9.417059,0.434652,0.3888,0.62528,0.55664
9.437059,0.434652,0.3888,0.62528,0.55664
9.457059,0.434652,0.3888,0.62528,0.55664
9.477059,0.434652,0.3888,0.62528,0.55664
9.497059,0.434652,0.3888,0.62528,0.55664
9.517059,0.434652,0.3888,0.62528,0.55664
9.537059,0.434652,0.3888,0.62528,0.55664
9.557059,0.434652,0.3888,0.62528,0.55664
9.577059,0.434652,0.3888,0.62528,0.55664
9.597059,0.434652,0.3888,0.62528,0.55664
9.617059,0.434652,0.3888,0.62528,0.55664
9.637059,0.434652,0.3888,0.62528,0.55664
9.657059,0.434652,0.3888,0.62528,0.55664
9.677059,0.434652,0.3888,0.62528,0.55664
9.697059,0.434652,0.3888,0.62528,0.55664
9.717059,0.434652,0.3888,0.62528,0.55664
9.737059,0.434652,0.3888,0.62528,0.55664
9.757059,0.434652,0.3888,0.62528,0.55664
9.777059,0.434652,0.3888,0.62528,0.55664
9.797059,0.434652,0.3888,0.62528,0.55664
9.817059,0.434652,0.3888,0.62528,0.55664
9.837059,0.434652,0.3888,0.62528,0.55664
9.857059,0.434652,0.3888,0.62528,0.55664
9.877059,0.434652,0.3888,0.62528,0.55664
9.897059,0.434652,0.3888,0.62528,0.55664
9.917059,0.434652,0.3888,0.62528,0.55664
9.937059,0.434652,0.3888,0.62528,0.55664
9.957059,0.434652,0.3888,0.62528,0.55664
9.977059,0.434652,0.3888,0.62528,0.55664
9.997059,0.434652,0.3888,0.62528,0.55664
