time,MD,MF
9.699992,12.3384,33.78104
9.719992,12.216,33.44552
9.739992,12.1016,33.1176
9.759992,11.98,32.78208
9.779992,11.8656,32.43896
9.799992,11.7512,32.11104
9.819992,11.6216,31.77552
9.839992,11.5072,31.44
9.859992,11.3928,31.10448
9.879992,11.2632,30.76896
9.899992,11.1488,30.44104
9.919992,11.0344,30.10552
9.939992,10.912,29.77
9.959992,10.7976,29.43448
9.979992,10.668,29.09896
9.999992,10.5536,28.76344
10.019992,10.4472,28.43552
10.039992,10.3176,28.1
10.059992,10.1952,27.75688
10.079992,10.0808,27.43656
10.099992,9.9592,27.10104
10.119992,9.8448,26.75792
10.139992,9.7224,26.43
10.159992,9.6008,26.09448
10.179992,9.4936,25.75896
10.199992,9.364,25.42344
10.219992,9.2496,25.08792
10.239992,9.128,24.7524
10.259992,9.0136,24.42456
10.279992,8.8912,24.08136
10.299992,8.7696,23.75344
10.319992,8.6552,23.41792
10.339992,8.5328,23.0824
10.359992,8.4184,22.75456
10.379992,8.2968,22.41904
10.399992,8.1744,22.07584
10.419992,8.068,21.748
10.439992,7.9384,21.41248
10.459992,7.816,21.07696
10.479992,7.7016,20.74904
10.499992,7.5872,20.40584
10.519992,7.4728,20.07032
10.539992,7.3432,19.74248
10.559992,7.2288,19.40696
10.579992,7.1144,19.07144
10.599992,6.9928,18.73592
10.619992,6.8704,18.4004
10.639992,6.756,18.06488
10.659992,6.6344,17.73696
10.679992,6.52,17.40144
10.700092,6.3904,17.06592
10.719992,6.276,16.7304
10.739992,6.1536,16.39488
10.759992,6.0392,16.05936
10.779992,5.9176,15.72384
10.799992,5.7952,15.38832
10.819992,5.6888,15.0604
10.839992,5.5664,14.72488
10.859992,5.4368,14.38176
10.879992,5.3224,14.05384
10.899992,5.208,13.71832
10.919992,5.0936,13.3828
10.939992,4.964,13.05488
10.959992,4.8496,12.71936
10.979992,4.7352,12.38384
10.999992,4.6136,12.04832
11.019992,4.4912,11.7128
11.039992,4.3768,11.38488
11.059992,4.2552,11.04176
11.079992,4.1408,10.70624
11.099992,4.0112,10.37832
11.119992,3.8968,10.0428
11.139992,3.7824,9.70728
11.159992,3.668,9.37176
11.179992,3.5384,9.04384
11.200092,3.424,8.70072
11.219992,3.3016,8.3728
11.239992,3.1872,8.03728
11.259992,3.0656,7.69416
11.279992,2.9432,7.36624
11.299992,2.8368,7.03072
11.319992,2.7144,6.6952
11.339992,2.5848,6.35968
