time,MA,MC,MD,MF
1.976947,2.596409,1.091039,-0.055243,0.40051
1.996947,2.831189,1.173909,-0.082864,0.441942
2.016947,2.983109,1.187719,-0.027621,0.441942
2.036947,2.858809,1.035799,-0.055243,0.455752
2.056947,2.844999,1.160099,-0.096675,0.41432
2.076947,3.010729,1.104859,-0.055243,0.41432
2.096947,2.996919,1.008179,-0.069053,0.428131
2.116947,2.983109,1.146289,-0.082864,0.455752
2.136947,2.872619,1.104859,-0.041432,0.455752
2.156947,3.024539,1.132479,-0.055243,0.40051
2.176947,3.079779,1.160099,-0.082864,0.41432
2.196947,3.024539,1.063419,-0.082864,0.41432
2.216947,2.886429,1.118669,-0.096675,0.372888
2.236947,3.231699,1.132479,-0.055243,0.469563
2.256947,3.355999,1.173909,-0.055243,0.345267
2.276947,3.231699,1.173909,-0.082864,0.441942
2.296947,3.245509,1.146289,-0.082864,0.359078
2.316947,3.148839,1.312019,-0.069053,0.428131
2.336947,3.107399,1.187719,-0.082864,0.428131
2.356947,3.176459,1.146289,-0.069053,0.372888
2.376947,3.093589,1.339639,-0.055243,0.40051
2.396947,3.259319,1.229149,-0.055243,0.331456
2.416947,3.148839,1.229149,-0.069053,0.455752
2.436947,3.245509,1.284389,-0.069053,0.317646
2.456947,3.314559,1.229149,-0.082864,0.40051
2.476947,3.632209,1.256769,-0.082864,0.40051
2.496947,3.618399,1.298199,-0.069053,0.441942
2.516947,3.632209,1.256769,-0.069053,0.359078
2.536947,3.480289,1.298199,-0.055243,0.428131
2.556947,3.576969,1.256769,-0.055243,0.372888
2.576947,3.687449,1.353449,-0.082864,0.386699
2.596947,3.521719,1.298199,-0.027621,0.41432
2.616947,3.480289,1.381069,-0.055243,0.345267
2.636947,3.494099,1.477739,-0.041432,0.441942
2.656947,3.590779,1.477739,-0.069053,0.359078
2.676947,3.576969,1.367259,-0.082864,0.303835
2.696947,3.328379,1.491549,-0.041432,0.41432
2.716947,3.507909,1.532989,-0.041432,0.40051
2.736947,3.756509,1.477739,-0.041432,0.345267
2.756947,3.797939,1.546799,-0.041432,0.386699
2.776947,3.452669,1.450119,-0.055243,0.386699
2.796947,3.715069,1.588229,-0.027621,0.345267
2.816947,4.087959,1.491549,-0.041432,0.317646
2.836947,3.908419,1.463929,-0.055243,0.386699
2.856947,3.894609,1.574419,-0.013811,0.372888
2.876947,3.742699,1.629659,-0.041432,0.359078
2.896947,3.825559,1.546799,-0.013811,0.303835
2.916947,3.811749,1.712519,-0.055243,0.41432
2.936947,4.046529,1.560609,-0.027621,0.345267
2.956947,4.074149,1.698709,-0.041432,0.317646
2.976947,3.908419,1.767769,-0.027621,0.359078
2.996947,3.825559,1.712519,-0.041432,0.345267
3.016947,4.157019,1.753959,-0.027621,0.359078
3.036947,4.529899,1.602039,-0.013811,0.303835
3.056947,4.336549,1.698709,-0.055243,0.303835
3.076947,3.880799,1.767769,0.0,0.317646
3.096947,4.184639,1.671089,-0.041432,0.303835
3.116947,4.391799,1.698709,-0.041432,0.276214
3.136947,4.405609,1.823009,-0.027621,0.317646
3.156947,4.198449,1.629659,-0.055243,0.276214
3.176947,4.226069,1.836819,-0.055243,0.290024
3.196947,4.350369,1.657279,-0.055243,0.303835
3.216947,4.364179,1.767769,-0.055243,0.303835
3.236947,4.322739,1.836819,-0.055243,0.290024
3.256947,4.405609,1.781579,-0.055243,0.248592
3.276947,4.198449,1.781579,-0.041432,0.303835
3.296947,4.612769,1.850629,-0.013811,0.290024
3.316947,4.598959,1.864439,-0.027621,0.317646
3.336947,4.792309,1.905869,-0.041432,0.276214
3.356947,4.833739,1.740149,-0.041432,0.345267
3.376947,4.654199,1.809199,-0.027621,0.345267
3.396947,4.847549,1.947309,-0.055243,0.345267
3.416947,4.806119,1.864439,-0.055243,0.317646
3.436947,4.861359,1.836819,-0.041432,0.331456
3.456947,4.695629,1.892059,-0.055243,0.345267
3.476947,4.888979,1.781579,-0.027621,0.331456
3.496947,5.496649,1.933499,-0.041432,0.331456
3.516947,5.068519,1.892059,-0.055243,0.359078
3.536947,5.151379,1.961119,-0.069053,0.359078
3.556947,5.289489,1.988739,0.0,0.317646
3.576947,5.427599,2.030169,-0.069053,0.345267
3.596947,5.220439,2.085409,0.027621,0.386699
3.616947,5.234249,2.126849,-0.041432,0.372888
3.636947,5.109949,1.974929,-0.013811,0.359078
3.656947,4.888979,2.057789,-0.027621,0.372888
3.676947,3.162649,1.974929,0.842451,-0.20716
3.696947,3.659829,1.988739,-0.372889,0.290024
3.716947,3.659829,1.961119,0.138106,0.165728
3.736947,3.646019,1.974929,0.055243,0.179539
3.756947,3.659829,1.988739,-0.013811,0.151917
3.776947,3.659829,1.947309,0.055243,0.165728
3.796947,3.659829,1.961119,0.041432,0.138107
3.816947,3.673639,1.974929,0.041432,0.165728
3.836947,3.659829,1.961119,0.027621,0.151917
3.856947,3.673639,1.974929,0.013811,0.19335
3.876947,3.632209,1.974929,0.041432,0.179539
3.896947,3.673639,1.974929,0.013811,0.165728
3.916947,3.673639,1.961119,0.027621,0.165728
3.936947,3.659829,1.974929,0.041432,0.165728
3.956947,3.659829,1.974929,0.0,0.165728
3.976947,3.673639,1.974929,0.027621,0.179539
3.996947,3.659829,1.947309,0.027621,0.165728
4.016947,3.659829,1.947309,0.027621,0.165728
4.036947,3.687449,1.933499,0.0,0.165728
4.056947,3.659829,1.961119,0.041432,0.165728
4.076947,3.659829,1.961119,0.0,0.165728
4.096947,3.646019,1.961119,0.0,0.165728
4.116947,3.659829,1.947309,0.013811,0.165728
4.136947,3.659829,1.947309,0.013811,0.165728
4.156947,3.659829,1.933499,0.041432,0.179539
4.176947,3.687449,1.947309,0.027621,0.165728
4.196947,3.673639,1.961119,0.0,0.165728
4.216947,3.659829,1.961119,0.0,0.165728
4.236947,3.673639,1.961119,0.013811,0.165728
4.256947,3.646019,1.961119,0.027621,0.151917
4.276947,3.659829,1.974929,0.027621,0.165728
4.296947,3.659829,1.961119,0.027621,0.179539
4.316947,3.659829,1.974929,0.027621,0.165728
4.336947,3.659829,1.961119,0.041432,0.179539
4.356947,3.659829,1.961119,0.027621,0.165728
4.376947,3.659829,1.961119,0.013811,0.165728
4.396947,3.659829,1.933499,0.041432,0.165728
4.416947,3.673639,1.933499,0.027621,0.179539
4.436947,3.659829,1.933499,0.027621,0.179539
4.456947,3.646019,1.947309,0.027621,0.179539
4.476947,3.659829,1.933499,0.027621,0.165728
4.496947,3.673639,1.961119,0.013811,0.165728
4.516947,3.646019,1.933499,0.013811,0.165728
4.536947,3.687449,1.933499,0.0,0.179539
4.556947,3.659829,1.933499,0.013811,0.179539
4.576947,3.659829,1.947309,0.013811,0.165728
4.596947,3.646019,1.947309,0.013811,0.165728
4.616947,3.673639,1.947309,0.013811,0.165728
4.636947,3.659829,1.961119,0.013811,0.165728
4.656947,3.632209,1.933499,0.013811,0.165728
4.676947,3.659829,1.933499,0.013811,0.165728
4.696947,3.673639,1.919689,0.013811,0.165728
4.716947,3.659829,1.933499,0.027621,0.165728
4.736947,3.659829,1.878249,0.027621,0.165728
4.756947,3.659829,1.933499,0.013811,0.165728
4.776947,3.659829,1.933499,0.027621,0.165728
4.796947,3.646019,1.919689,0.013811,0.165728
4.816947,3.659829,1.933499,0.041432,0.179539
4.836947,3.659829,1.919689,0.041432,0.165728
4.856947,3.618399,1.933499,0.041432,0.179539
4.876947,3.659829,1.905869,0.013811,0.165728
4.896947,3.659829,1.919689,0.013811,0.179539
4.916947,3.659829,1.905869,0.027621,0.179539
4.936947,3.673639,1.919689,0.013811,0.165728
4.956947,3.673639,1.919689,0.027621,0.165728
4.976947,3.659829,1.919689,0.041432,0.179539
4.996947,3.659829,1.878249,0.027621,0.165728
5.016947,3.673639,1.892059,0.013811,0.165728
5.036947,3.646019,1.919689,0.013811,0.165728
5.056947,3.659829,1.919689,0.041432,0.165728
5.076947,3.646019,1.905869,0.013811,0.165728
5.096947,3.687449,1.892059,0.013811,0.165728
5.116947,3.646019,1.905869,0.027621,0.165728
5.136947,3.687449,1.892059,0.013811,0.179539
5.156947,3.646019,1.919689,0.013811,0.165728
5.176947,3.632209,1.905869,0.041432,0.165728
5.196947,3.659829,1.892059,0.027621,0.165728
5.216947,3.673639,1.919689,0.027621,0.165728
5.236947,3.659829,1.905869,0.013811,0.165728
5.256947,3.659829,1.905869,0.013811,0.165728
5.276947,3.659829,1.919689,0.027621,0.179539
5.296947,3.673639,1.892059,0.027621,0.165728
5.316947,3.659829,1.892059,0.027621,0.165728
5.336947,3.673639,1.905869,0.027621,0.165728
5.356947,3.659829,1.905869,0.027621,0.179539
5.376947,3.673639,1.905869,0.041432,0.165728
5.396947,3.646019,1.919689,0.027621,0.165728
5.416947,3.659829,1.892059,0.027621,0.179539
5.436947,3.604589,1.892059,0.027621,0.165728
5.456947,3.646019,1.905869,0.0,0.165728
5.476947,3.659829,1.892059,0.027621,0.165728
5.496947,3.659829,1.892059,0.027621,0.165728
5.516947,3.659829,1.878249,0.013811,0.179539
5.536947,3.618399,1.933499,0.027621,0.179539
5.556947,3.673639,1.905869,0.027621,0.165728
5.576947,3.646019,1.892059,0.013811,0.179539
5.596947,3.659829,1.892059,0.013811,0.165728
5.616947,3.687449,1.892059,0.027621,0.165728
5.636947,3.646019,1.892059,0.013811,0.165728
5.656947,3.659829,1.905869,0.027621,0.165728
5.676947,1.242959,1.698709,0.842451,-0.428131
5.696947,0.290025,1.436309,-0.082864,0.19335
5.716947,0.842452,1.187719,0.345267,-0.055243
5.736947,0.290025,0.925315,0.359077,-0.110485
5.756947,0.621481,0.662912,0.220971,0.027621
5.776947,0.455753,0.552427,0.428131,-0.041432
5.796947,0.497185,0.524805,0.331456,-0.013811
