time,MA,MC,MD,MF
4.576947,146.1512,12.61256,-70.11652,47.00344
4.596947,146.1512,12.61256,-70.11652,47.00344
4.616947,146.1512,12.61256,-70.11652,47.00344
4.636947,146.1512,12.61256,-70.11652,47.00344
4.656947,146.1512,12.61256,-70.11652,47.00344
4.676947,146.1512,12.61256,-70.11652,47.00344
4.696947,146.1512,12.61256,-70.11652,47.00344
4.716947,146.1512,12.61256,-70.11652,47.00344
4.736947,146.1512,12.61256,-70.11652,47.00344
4.756947,146.1512,12.61256,-70.11652,47.00344
4.776947,146.1512,12.61256,-70.11652,47.00344
4.796947,146.1512,12.61256,-70.11652,47.00344
4.816947,146.1512,12.61256,-70.11652,47.00344
4.836947,146.1512,12.61256,-70.11652,47.00344
4.856947,146.1512,12.61256,-70.11652,47.00344
4.876947,146.1512,12.61256,-70.11652,47.00344
4.896947,146.1512,12.61256,-70.11652,47.00344
4.916947,146.1512,12.61256,-70.11652,47.00344
4.936947,146.1512,12.61256,-70.11652,47.00344
4.956947,146.1512,12.61256,-70.11652,47.00344
4.976947,146.1512,12.61256,-70.11652,47.00344
4.996947,146.1512,12.61256,-70.11652,47.00344
5.016947,146.1512,12.61256,-70.11652,47.00344
5.036947,146.1512,12.62024,-70.11652,47.00344
5.056947,146.1512,12.62024,-70.11652,47.00344
5.076947,146.1512,12.62024,-70.11652,47.00344
5.096947,146.1512,12.62024,-70.11652,47.00344
5.116947,146.1512,12.62024,-70.11652,47.00344
5.136947,146.1512,12.62024,-70.11652,47.00344
5.156947,146.1512,12.62024,-70.11652,47.00344
5.176947,146.1512,12.62024,-70.11652,47.00344
5.196947,146.1512,12.62024,-70.11652,47.00344
5.216947,146.1512,12.62024,-70.11652,47.00344
5.236947,146.1512,12.62024,-70.11652,47.00344
5.256947,146.1512,12.62024,-70.11652,47.00344
5.276947,146.1512,12.62024,-70.11652,47.00344
5.296947,146.1512,12.62024,-70.11652,47.00344
5.316947,146.1512,12.62024,-70.11652,47.00344
5.336947,146.1512,12.62024,-70.11652,47.00344
5.356947,146.1512,12.62024,-70.11652,47.00344
5.376947,146.1512,12.62024,-70.11652,47.00344
5.396947,146.1512,12.62024,-70.11652,47.00344
5.416947,146.1512,12.62024,-70.11652,47.00344
5.436947,146.1512,12.62024,-70.11652,47.00344
5.456947,146.1512,12.62024,-70.11652,47.00344
5.476947,146.1512,12.62024,-70.11652,47.00344
5.496947,146.1512,12.62024,-70.11652,47.00344
5.516947,146.1512,12.62024,-70.11652,47.00344
5.536947,146.1512,12.62024,-70.11652,47.00344
5.556947,146.1512,12.62024,-70.11652,47.00344
5.576947,146.1512,12.62024,-70.11652,47.00344
5.596947,146.1512,12.62024,-70.11652,47.00344
5.616947,146.1512,12.62024,-70.11652,47.00344
5.636947,146.1512,12.62024,-70.11652,47.00344
5.656947,146.1512,12.62024,-70.11652,47.00344
5.676947,146.1432,12.62024,-70.070768,46.98824
5.696947,145.6784,12.62024,-69.453096,46.59944
5.716947,144.6256,12.62024,-69.026072,46.29464
5.736947,143.8176,12.62024,-68.591416,46.01224
5.756947,142.8112,12.61256,-68.072881,45.66904
5.776947,141.896,12.58208,-67.653478,45.40264
5.796947,140.9728,12.52104,-67.180697,45.08984
5.816947,140.02,12.49816,-66.723166,44.78424
5.836947,139.0976,12.41432,-66.258008,44.46424
5.856947,138.144,12.35328,-65.785232,44.15944
5.876947,137.2216,12.27704,-65.304824,43.85464
5.896947,136.276,12.2084,-64.839664,43.54184
5.916947,135.3528,12.14744,-64.366888,43.25224
5.936947,134.4152,12.0712,-63.901728,42.92424
5.956947,133.4624,11.98728,-63.436576,42.61864
5.976947,132.524,11.92624,-62.956168,42.32184
5.996947,131.5864,11.8424,-62.506264,42.00104
6.016947,130.648,11.77376,-62.018232,41.69624
6.036947,129.7104,11.7204,-61.575952,41.39864
6.056947,128.7568,11.62888,-61.080288,41.08584
6.076947,127.8264,11.56024,-60.607512,40.77384
6.096947,126.8736,11.4916,-60.157608,40.46824
6.116947,125.9432,11.40776,-59.661944,40.16344
6.136947,124.9976,11.34672,-59.21968,39.85864
6.156947,124.0672,11.27808,-58.7316,39.54584
6.176947,123.1144,11.20184,-58.26648,39.24848
6.196947,122.176,11.1332,-57.80896,38.93584
6.216947,121.2456,11.04936,-57.31328,38.6232
6.236947,120.3,10.98832,-56.86336,38.31816
6.256947,119.3552,10.91968,-56.36776,38.01312
6.276947,118.4168,10.82824,-55.90256,37.70808
6.296947,117.4712,10.7672,-55.42976,37.39544
6.316947,116.5256,10.68336,-54.94176,37.09048
6.336947,115.588,10.60704,-54.49184,36.78544
6.356947,114.6496,10.54608,-54.00384,36.4804
6.376947,113.6968,10.46216,-53.53864,36.16776
6.396947,112.7664,10.39352,-53.04304,35.86272
6.416947,111.8288,10.31728,-52.57784,35.56536
6.436947,110.8752,10.24104,-52.10504,35.25272
6.456947,109.9448,10.18,-51.61704,34.9324
6.476947,108.9992,10.10376,-51.17472,34.64264
6.496947,108.0616,10.02752,-50.68672,34.33
6.516947,107.116,9.95888,-50.2292,34.01736
6.536947,106.1704,9.86736,-49.7564,33.71232
6.556947,105.2248,9.8064,-49.26072,33.40736
6.576947,104.2944,9.73776,-48.81088,33.10232
6.596947,103.3416,9.65384,-48.3152,32.79728
6.616947,102.4032,9.58528,-47.85768,32.48464
6.636947,101.4656,9.50896,-47.38488,32.1796
6.656947,100.5272,9.42512,-46.91208,31.87456
6.725447,97.3096,9.18112,-45.30312,30.82224
6.745447,96.3712,9.10488,-44.81512,30.51728
6.765447,95.3272,9.02096,-44.30416,30.18176
6.785447,94.488,8.9676,-43.86952,29.9072
6.805447,93.5504,8.89136,-43.4044,29.59456
6.825447,92.4976,8.80744,-42.89344,29.25904
6.845447,91.5672,8.7236,-42.39776,28.954
6.865447,90.7208,8.65496,-41.986,28.67952
6.885447,89.684,8.58632,-41.44464,28.3364
6.905447,88.7464,8.51008,-40.97944,28.03136
6.925447,87.8008,8.42616,-40.50664,27.72632
6.945447,86.8624,8.3652,-40.03392,27.42128
6.965447,85.9248,8.28128,-39.57632,27.10864
6.985447,84.9792,8.19744,-39.08832,26.796
7.005447,84.0336,8.144,-38.6308,26.49864
7.025447,83.1032,8.06016,-38.1504,26.1936
7.045447,82.1576,7.98392,-37.6776,25.87336
7.065447,81.212,7.91528,-37.2048,25.57592
7.085447,80.2664,7.83136,-36.7244,25.27088
7.105447,79.3288,7.7704,-36.26688,24.95824
7.125447,78.3904,7.68648,-35.77888,24.65328
7.145447,77.4448,7.61784,-35.32136,24.34056
7.165447,76.4992,7.5416,-34.84088,24.0432
7.185447,75.5616,7.45776,-34.36048,23.73056
7.205447,74.616,7.39672,-33.90296,23.41792
7.225447,73.6704,7.32048,-33.41496,23.12816
7.245447,72.7248,7.22896,-32.94976,22.80784
7.265447,71.7872,7.168,-32.46936,22.4952
7.285447,70.8488,7.09168,-31.99664,22.19784
7.305447,69.896,7.00784,-31.53904,21.8928
7.325447,68.9576,6.95448,-31.05104,21.58016
7.345447,68.02,6.86296,-30.58592,21.27512
7.365447,67.0744,6.78672,-30.10544,20.97016
7.385447,66.1288,6.71808,-29.64032,20.66512
7.405447,65.1912,6.64184,-29.1752,20.35248
7.425447,64.2456,6.5732,-28.68712,20.03984
7.445447,63.3072,6.49688,-28.222,19.7424
7.465447,62.3616,6.42064,-27.7416,19.43736
7.485447,61.424,6.3444,-27.2764,19.12472
7.505447,60.5776,6.26816,-26.85704,18.85024
7.525447,59.5328,6.19952,-26.33088,18.51472
7.545447,58.6024,6.13088,-25.86568,18.20208
7.565447,57.6496,6.03936,-25.38528,17.88944
7.585447,56.7112,5.9784,-24.92016,17.592
7.605447,55.7808,5.89448,-24.44736,17.27936
7.625447,54.9272,5.81824,-24.02032,17.00488
7.645447,53.936,5.76488,-23.5552,16.69224
7.665447,52.9904,5.68096,-23.0748,16.3872
7.685447,52.0448,5.60472,-22.602,16.08976
7.705447,51.1064,5.52848,-22.1368,15.76952
7.725447,50.1608,5.45224,-21.6564,15.47216
7.745447,49.2232,5.376,-21.19128,15.16712
7.765447,48.232,5.30736,-20.66512,14.824
7.785447,47.256,5.22344,-20.19992,14.51896
7.805447,46.348,5.1472,-19.7272,14.20632
7.825447,45.4104,5.07856,-19.2544,13.90888
7.845447,44.472,5.00232,-18.7816,13.60384
7.865447,43.4808,4.93368,-18.3088,13.2836
7.885447,42.688,4.85744,-17.88944,12.97856
7.905447,41.6432,4.7812,-17.37088,12.6812
7.925447,40.7056,4.70496,-16.89808,12.37616
7.945447,39.76,4.62104,-16.42528,12.05592
7.965447,38.8216,4.56768,-15.95256,11.75848
7.985447,37.876,4.48376,-15.48736,11.45352
8.005447,36.8848,4.39992,-15.01456,11.14088
8.025447,35.9928,4.33128,-14.54184,10.83584
8.045447,35.0552,4.25504,-14.07664,10.5308
8.065447,34.1096,4.1864,-13.60392,10.22576
8.085447,33.164,4.11016,-13.13112,9.91312
8.105447,32.2336,4.03384,-12.66592,9.60808
8.125447,31.28,3.9576,-12.18552,9.30312
8.145447,30.3496,3.87376,-11.7204,9.00568
8.165447,29.404,3.81272,-11.2476,8.68544
8.185447,28.4432,3.74408,-10.7748,8.3728
8.205447,27.62,3.66024,-10.35544,8.11352
8.225447,26.568,3.5916,-9.83688,7.76272
8.245447,25.584,3.50008,-9.35648,7.45776
8.265447,24.684,3.42384,-8.89896,7.15272
8.285447,23.6928,3.3628,-8.41856,6.84768
8.305447,22.8008,3.28656,-7.94576,6.53504
8.325447,21.8552,3.20272,-7.48056,6.23
8.345447,20.9168,3.14168,-7.00016,5.92496
8.365447,19.9256,3.05016,-6.53504,5.62
8.385447,19.0336,2.98152,-6.06224,5.30736
8.405447,18.0496,2.91296,-5.59712,5.00232
8.425447,17.1424,2.83664,-5.11672,4.69728
8.445447,16.1664,2.7528,-4.64392,4.39224
8.465447,15.2136,2.68416,-4.17872,4.0796
8.485447,14.4128,2.6232,-3.75176,3.80512
8.505447,13.4744,2.55456,-3.28656,3.50008
8.525447,12.384,2.45536,-2.768,3.16456
8.545447,11.4536,2.3868,-2.29528,2.85952
8.565447,10.5008,2.31048,-1.83008,2.53928
8.585447,9.5704,2.22664,-1.34968,2.24952
8.605447,8.6552,2.17328,-0.89216,1.9292
8.625447,7.6872,2.08936,-0.41176,1.62424
8.645447,6.7872,2.00552,0.05344,1.3268
8.665447,5.796,1.93688,0.52616,1.01416
8.685447,5.5896,1.9216,0.68632,0.94552
8.705447,5.948,1.93688,0.51856,1.04464
8.725447,5.6512,1.9292,0.62528,0.976
8.745447,5.8336,1.9292,0.5796,1.00656
8.765447,5.7504,1.9292,0.5948,0.99888
8.785447,5.7728,1.9292,0.5948,0.99888
8.805447,5.7728,1.9292,0.5948,0.99888
8.825447,5.7656,1.9292,0.5948,0.99888
8.845447,5.7728,1.9292,0.5948,0.99888
8.865447,5.7728,1.9292,0.5948,0.99888
8.885447,5.7728,1.9292,0.5948,0.99888
8.905447,5.7728,1.9292,0.5948,0.99888
8.925447,5.7728,1.9292,0.5948,0.99888
8.945447,5.7728,1.9292,0.5948,0.99888
8.965447,5.7728,1.9292,0.5948,0.99888
8.985447,5.7728,1.9292,0.5948,0.99888
9.005447,5.7728,1.9292,0.5948,0.99888
9.025447,5.7728,1.9292,0.5948,0.99888
9.045447,5.7728,1.9292,0.5948,0.99888
9.065447,5.7728,1.9292,0.5948,0.99888
9.085447,5.7728,1.9292,0.5948,0.99888
9.105447,5.7728,1.9292,0.5948,0.99888
9.125447,5.7728,1.9292,0.5948,0.99888
9.145447,5.7728,1.9292,0.5948,0.99888
9.165447,5.7728,1.9292,0.5948,0.99888
9.185447,5.7728,1.9292,0.5948,0.99888
9.205447,5.7728,1.9292,0.5948,0.99888
9.225447,5.7728,1.9292,0.5948,0.99888
9.245447,5.7728,1.9292,0.5948,0.99888
9.265447,5.7728,1.9292,0.5948,0.99888
9.285447,5.7728,1.9292,0.5948,0.99888
9.305447,5.7728,1.9292,0.5948,0.99888
9.325447,5.7728,1.9292,0.5948,0.99888
9.345447,5.7728,1.9292,0.5948,0.99888
9.365447,5.7728,1.9292,0.5948,0.99888
9.385447,5.7728,1.9292,0.5948,0.99888
9.405447,5.7728,1.9292,0.5948,0.99888
9.425447,5.7728,1.9292,0.5948,0.99888
9.445447,5.7728,1.9292,0.5948,0.99888
