time,MD,MF
10.799992,0.0,-0.055243
10.819992,-0.013811,-0.082864
10.839992,0.0,-0.069053
10.859992,0.041432,-0.055243
10.879992,0.0,-0.082864
10.899992,0.0,-0.055243
10.919992,0.0,-0.041432
10.939992,0.013811,-0.082864
10.959992,0.027621,-0.069053
10.979992,-0.013811,-0.055243
10.999992,0.027621,-0.069053
11.019992,-0.041432,-0.069053
11.039992,0.0,-0.069053
11.059992,0.013811,-0.069053
11.079992,-0.041432,-0.096675
11.099992,0.0,-0.069053
11.119992,-0.013811,-0.082864
11.139992,-0.013811,-0.027621
11.159992,-0.027621,-0.082864
11.179992,0.013811,-0.082864
11.200092,-0.013811,-0.055243
11.219992,0.0,-0.124296
11.239992,-0.027621,-0.096675
11.259992,0.0,-0.027621
11.279992,0.027621,-0.110486
11.299992,-0.041432,-0.069053
11.319992,-0.027621,-0.055243
11.339992,0.013811,-0.041432
11.359992,-0.027621,-0.041432
11.379992,0.0,-0.069053
11.399992,-0.027621,-0.055243
11.419992,0.027621,-0.041432
11.439992,-0.013811,-0.055243
11.459992,0.0,-0.055243
11.479992,0.0,-0.082864
11.499992,0.0,-0.069053
11.519992,-0.013811,-0.082864
11.539992,-0.027621,-0.041432
11.559992,-0.027621,-0.069053
11.579992,-0.027621,-0.082864
11.599992,0.0,-0.027621
11.619992,-0.013811,-0.096675
11.639992,0.0,-0.069053
11.659992,-0.027621,-0.069053
11.679992,0.179539,0.580048
11.699992,-0.069053,-0.303835
11.719992,0.027621,0.055243
11.740092,0.041432,-0.013811
11.759992,0.027621,-0.069053
11.780092,0.027621,0.013811
11.799992,0.027621,-0.027621
11.819992,0.027621,0.0
11.839992,0.027621,-0.041432
11.859992,0.013811,0.0
11.879992,0.0,-0.013811
11.899992,0.041432,-0.041432
11.919992,0.027621,-0.027621
11.940092,0.013811,-0.027621
11.959992,0.041432,-0.027621
11.979992,0.027621,0.0
11.999992,0.027621,-0.041432
12.019992,0.041432,-0.041432
12.039992,0.041432,-0.027621
12.059992,0.027621,-0.027621
12.079992,0.027621,-0.041432
12.099992,0.013811,-0.013811
12.119992,0.041432,-0.027621
12.139992,0.027621,-0.013811
12.159992,0.027621,-0.027621
12.179992,0.027621,0.013811
12.199992,0.013811,0.0
12.219992,0.013811,0.0
12.239992,0.027621,0.0
12.259992,0.027621,-0.027621
12.279992,0.013811,-0.041432
12.299992,0.027621,-0.013811
12.320092,0.041432,-0.013811
12.339992,0.027621,-0.013811
12.359992,0.013811,-0.027621
12.379992,0.027621,0.013811
12.400092,0.013811,-0.027621
12.420092,0.013811,-0.013811
12.439992,0.027621,-0.013811
