time,MB,MC,MD,ME
5.708459,0.0,0.069053,0.787209,1.2982
5.728459,0.013811,0.082864,0.80102,1.25677
5.748459,0.0,0.082864,0.787209,1.2982
5.768459,0.0,0.069053,0.80102,1.31201
5.788459,0.0,0.069053,0.828641,1.31201
5.808459,0.0,0.069053,0.81483,1.2982
5.828459,-0.013811,0.069053,0.81483,1.31201
5.848559,0.013811,0.069053,0.80102,1.31201
5.868459,0.0,0.055243,0.80102,1.32583
5.888459,0.013811,0.069053,0.80102,1.2982
5.908459,0.013811,0.082864,0.81483,1.2982
5.928459,0.013811,0.069053,0.81483,1.31201
5.948459,0.0,0.096675,0.80102,1.27058
5.968459,-0.013811,0.055243,0.842452,1.2982
5.988459,-0.027621,0.110486,0.787209,1.2982
6.008459,0.0,0.055243,0.787209,1.2982
6.028459,-0.013811,0.082864,0.81483,1.2982
6.048459,0.248592,0.386699,-0.096674,-0.897694
6.068459,-0.096675,0.027621,0.262403,0.897694
6.088459,0.082864,0.248593,0.165728,0.013811
6.108459,0.0,0.234782,0.013811,0.151917
6.128459,0.041432,0.220971,0.138107,0.290024
6.148459,0.027621,0.262403,0.013811,-0.027621
6.168459,0.055243,0.220971,0.082864,0.276214
6.188459,0.041432,0.290025,0.069053,0.055243
6.208459,0.013811,0.207161,0.013811,0.082864
6.228459,0.041432,0.276214,0.027621,0.124296
6.248459,0.027621,0.262403,0.041432,0.041432
6.268459,0.027621,0.262403,0.027621,0.027621
6.288459,0.013811,0.303835,0.027621,0.041432
6.308459,0.027621,0.276214,0.055243,0.0
6.328459,-0.013811,0.290025,0.027621,0.027621
6.348459,0.041432,0.276214,0.069053,-0.013811
6.368459,-0.013811,0.220971,0.041432,-0.027621
6.388459,0.055243,0.290025,0.027621,-0.013811
6.408459,0.027621,0.276214,0.027621,-0.041432
6.428459,-0.013811,0.19335,0.027621,-0.027621
6.448459,0.041432,0.262403,0.0,-0.027621
6.468459,0.0,0.234782,0.0,-0.027621
6.488459,0.041432,0.207161,0.013811,-0.055243
6.508559,0.013811,0.234782,0.0,-0.055243
6.528459,0.027621,0.165728,-0.013811,-0.041432
6.548459,-0.013811,0.248593,0.027621,-0.027621
6.568459,0.069053,0.220971,0.013811,-0.069053
6.588459,0.041432,0.165728,0.0,-0.027621
6.608459,0.027621,0.207161,0.041432,-0.082864
6.628459,0.055243,0.19335,0.0,-0.055243
6.648459,0.013811,0.179539,-0.013811,-0.055243
6.668459,0.055243,0.234782,0.013811,-0.055243
6.688459,-0.027621,0.165728,0.0,-0.055243
6.708459,0.055243,0.207161,-0.027621,-0.082864
6.728459,0.013811,0.179539,0.0,-0.124296
6.748459,0.027621,0.124296,-0.027621,-0.055243
6.768459,0.041432,0.165728,-0.041432,-0.069053
6.788459,0.055243,0.165728,0.013811,-0.027621
6.808459,0.0,0.151918,0.013811,-0.055243
6.828459,0.041432,0.151918,-0.055243,-0.082864
6.848459,0.055243,0.096675,0.0,-0.027621
6.868459,0.013811,0.165728,0.0,-0.082864
6.888459,0.055243,0.165728,-0.027621,-0.096675
6.908459,-0.013811,0.096675,0.013811,-0.055243
6.928559,0.055243,0.165728,-0.027621,-0.069053
6.948459,0.013811,0.110486,-0.027621,-0.055243
6.968459,0.041432,0.124296,-0.013811,-0.096675
6.988459,0.027621,0.138107,0.0,-0.082864
7.008459,0.0,0.096675,-0.013811,-0.096675
7.028459,0.055243,0.110486,0.013811,-0.069053
7.048459,0.013811,0.151918,-0.055243,-0.096675
7.068459,0.055243,0.096675,-0.041432,-0.082864
7.088459,0.027621,0.138107,-0.013811,-0.096675
7.108459,0.069053,0.110486,-0.041432,-0.069053
7.128459,0.0,0.110486,-0.013811,-0.110485
7.148459,0.069053,0.138107,-0.027621,-0.069053
7.168459,0.0,0.110486,-0.041432,-0.082864
7.188459,0.0,0.151918,-0.041432,-0.069053
7.208459,0.069053,0.124296,-0.013811,-0.069053
7.228459,0.027621,0.124296,0.013811,-0.082864
7.248459,0.041432,0.151918,-0.041432,-0.082864
7.268459,0.027621,0.096675,0.013811,-0.069053
7.288459,0.082864,0.110486,-0.027621,-0.055243
7.308459,0.013811,0.138107,-0.055243,-0.082864
7.328459,0.082864,0.151918,-0.041432,-0.069053
7.348459,0.027621,0.082864,-0.027621,-0.055243
7.368459,0.069053,0.110486,-0.055243,-0.041432
7.388459,0.013811,0.110486,0.0,-0.069053
7.408459,0.082864,0.165728,-0.055243,-0.055243
7.428459,0.069053,0.110486,-0.027621,0.027621
7.448459,0.041432,0.082864,-0.027621,-0.069053
7.468459,0.110485,0.138107,-0.013811,-0.055243
7.488459,0.013811,0.151918,-0.069053,-0.082864
7.508459,0.082864,0.124296,-0.027621,-0.055243
7.528459,0.041432,0.138107,-0.041432,-0.096675
7.548459,0.055243,0.110486,-0.027621,-0.055243
7.568459,0.069053,0.124296,-0.027621,-0.082864
7.588459,0.082864,0.151918,-0.041432,-0.096675
7.608459,0.069053,0.096675,-0.041432,-0.069053
7.628459,0.069053,0.151918,-0.027621,-0.110485
7.648459,0.082864,0.110486,-0.027621,-0.069053
7.668459,0.055243,0.110486,-0.055243,-0.110485
7.688459,0.096675,0.165728,-0.027621,-0.027621
7.708459,0.082864,0.138107,-0.013811,-0.082864
7.728459,0.096675,0.124296,-0.055243,-0.069053
7.748459,0.055243,0.138107,-0.027621,-0.069053
7.768459,0.138107,0.096675,-0.041432,0.041432
7.788459,0.069053,0.138107,-0.041432,-0.110485
7.808459,0.110485,0.138107,-0.055243,-0.082864
7.828459,0.096675,0.082864,-0.013811,-0.082864
7.848459,0.138107,0.138107,-0.041432,-0.110485
7.868459,0.165728,0.138107,-0.041432,-0.069053
7.888459,0.082864,0.110486,-0.013811,-0.096675
7.908459,0.165728,0.138107,-0.069053,-0.082864
7.928459,0.082864,0.124296,-0.055243,-0.069053
7.948459,0.19335,0.110486,0.0,0.027621
7.968459,0.124296,0.151918,-0.055243,-0.138107
7.988459,0.179539,0.096675,-0.013811,-0.069053
8.008459,0.165728,0.179539,-0.013811,-0.110485
8.028459,0.165728,0.096675,-0.055243,-0.069053
8.048459,-0.055243,-0.20716,0.718156,1.6849
8.068459,0.151917,0.207161,-0.345267,-1.04961
8.088459,0.082864,0.0,0.151918,0.455752
8.108459,0.096675,0.082864,0.055243,-0.110485
8.128459,0.096675,0.055243,-0.013811,-0.027621
8.148459,0.069053,0.027621,0.069053,0.069053
8.168459,0.096675,0.069053,0.041432,-0.041432
8.188459,0.096675,0.027621,0.013811,-0.013811
8.257059,0.096675,0.055243,0.041432,0.0
8.277059,0.082864,0.069053,0.027621,-0.013811
8.297059,0.096675,0.027621,0.027621,-0.013811
8.317059,0.096675,0.041432,0.027621,0.0
8.337059,0.082864,0.082864,0.027621,0.0
8.357059,0.096675,0.041432,0.013811,-0.013811
8.377059,0.082864,0.069053,0.027621,0.0
8.397059,0.082864,0.069053,0.041432,0.0
8.417059,0.096675,0.027621,0.041432,0.0
8.437059,0.096675,0.069053,0.027621,0.0
8.457059,0.096675,0.041432,0.027621,0.0
8.477059,0.096675,0.055243,0.027621,0.0
8.497059,0.082864,0.069053,0.027621,0.0
8.517059,0.082864,0.055243,0.027621,-0.013811
8.537059,0.096675,0.055243,0.041432,0.0
8.557059,0.096675,0.027621,0.027621,-0.013811
8.577059,0.096675,0.041432,0.041432,0.0
8.597059,0.082864,0.041432,0.027621,0.0
8.617059,0.082864,0.041432,0.027621,0.0
8.637059,0.082864,0.041432,0.027621,0.0
8.657059,0.082864,0.069053,0.027621,0.013811
8.677059,0.096675,0.041432,0.027621,-0.013811
8.697059,0.082864,0.027621,0.027621,0.0
8.717059,0.096675,0.041432,0.041432,-0.013811
8.737059,0.096675,0.041432,0.013811,0.0
8.757059,0.082864,0.069053,0.027621,0.0
8.777059,0.096675,0.041432,0.027621,0.013811
8.797059,0.096675,0.069053,0.013811,0.0
8.817059,0.096675,0.069053,0.027621,0.0
8.837059,0.096675,0.027621,0.027621,0.013811
