time,MA,MC,MD
7.146533,70.8336,-35.473856,12.01032
7.166533,70.2688,-35.153584,11.91832
7.186533,69.6976,-34.833312,11.83512
7.206533,69.1936,-34.543544,11.73592
7.226533,68.5688,-34.192768,11.63672
7.246533,68.012,-33.872496,11.53752
7.266533,67.448,-33.5446,11.43832
7.286533,66.8832,-33.224328,11.35432
7.306533,66.3192,-32.904056,11.24792
7.326533,65.7472,-32.59144,11.16392
7.346533,65.1984,-32.27112,11.06472
7.366533,64.6264,-31.94328,10.96552
7.386533,64.0616,-31.63056,10.88152
7.406533,63.5056,-31.30272,10.76712
7.426533,62.9408,-30.9824,10.68312
7.446533,62.3688,-30.66216,10.58392
7.466533,61.8128,-30.34192,10.48472
7.486533,61.2408,-30.0216,10.40872
7.506533,60.676,-29.70136,10.29432
7.526533,60.1192,-29.38104,10.21032
7.546533,59.5552,-29.0608,10.11112
7.566533,58.9912,-28.74056,10.01192
7.586533,58.4264,-28.42024,9.92872
7.606533,57.8544,-28.1,9.82152
7.626533,57.2984,-27.77968,9.73032
7.646533,56.7336,-27.45944,9.63112
7.666533,56.1696,-27.1392,9.53912
7.686533,55.6128,-26.81888,9.45592
7.706533,55.0944,-26.52912,9.35672
7.726533,54.4688,-26.1784,9.25752
7.746533,53.9128,-25.85048,9.15832
7.766533,53.348,-25.53016,9.05912
7.786533,52.784,-25.21752,8.97512
7.806533,52.2728,-24.92016,8.87592
7.826533,51.6552,-24.57704,8.77672
7.846533,51.0912,-24.24912,8.68552
7.866533,50.5344,-23.9288,8.58632
7.886533,49.9624,-23.61616,8.50232
7.906533,49.3984,-23.28832,8.38792
7.926533,48.8336,-22.968,8.30392
7.946533,48.2696,-22.64776,8.20472
7.966533,47.7056,-22.32744,8.11352
7.986533,47.1408,-22.0148,8.02232
8.006533,46.5768,-21.68696,7.91512
8.026533,46.012,-21.36664,7.83112
8.046533,45.448,-21.0464,7.72472
8.066533,44.8912,-20.72616,7.63272
8.086533,44.3192,-20.40584,7.54952
8.106533,43.7552,-20.0856,7.43512
8.126533,43.1912,-19.75768,7.34312
8.146533,42.6264,-19.44504,7.25192
8.166533,42.0696,-19.1248,7.15272
8.186533,41.4984,-18.79688,7.06872
8.206533,40.9416,-18.48424,6.96232
8.226533,40.3696,-18.16392,6.87032
8.246533,39.8056,-17.84368,6.77912
8.266533,39.2488,-17.52344,6.67992
8.286533,38.6768,-17.20312,6.59592
8.306533,38.112,-16.88288,6.48152
8.326533,37.548,-16.56256,6.39752
8.346533,36.9912,-16.24232,6.29832
8.366533,36.4192,-15.9144,6.19992
8.386533,35.8552,-15.60176,6.11592
8.406533,35.2912,-15.28152,6.00152
8.426533,34.7264,-14.9536,5.91752
8.446533,34.1624,-14.64096,5.82552
8.466533,33.6056,-14.32072,5.71912
8.486533,33.0336,-14.0004,5.64312
8.506533,32.4768,-13.68016,5.52872
8.526533,31.9048,-13.35992,5.43672
8.546533,31.3408,-13.0396,5.34552
8.566533,30.7768,-12.71936,5.23832
8.586533,30.212,-12.39904,5.16232
8.606533,29.648,-12.0788,5.04792
8.626533,29.084,-11.76616,4.96392
8.646533,28.5192,-11.43824,4.86472
8.666533,27.9552,-11.118,4.76632
8.686533,27.3912,-10.80536,4.68952
8.706533,26.8264,-10.48504,4.57512
8.726533,26.2624,-10.1572,4.48392
8.746533,25.6984,-9.83688,4.39192
8.766533,25.1336,-9.51664,4.29352
8.786533,24.5696,-9.18872,4.20952
8.806533,24.0048,-8.87608,4.09512
8.826533,23.4408,-8.55584,4.01112
8.846533,22.8768,-8.23552,3.91192
8.866533,22.32,-7.92288,3.81272
8.886533,21.748,-7.59496,3.72872
8.906533,21.176,-7.28232,3.61432
8.926533,20.6192,-6.96968,3.53056
8.946533,20.0552,-6.64184,3.43912
8.966533,19.4912,-6.3368,3.33992
8.986533,18.9264,-6.01648,3.25608
9.006533,18.3624,-5.68864,3.14168
9.026533,17.7904,-5.376,3.05784
9.046533,17.2336,-5.06336,2.95872
9.066533,16.6696,-4.74304,2.85952
9.086533,16.0976,-4.4228,2.77568
9.106533,15.5408,-4.11016,2.66128
9.126533,14.9768,-3.79752,2.57744
9.146533,14.4048,-3.4772,2.47824
9.166533,13.848,-3.16456,2.37912
9.186533,13.276,-2.85192,2.30288
9.206533,12.712,-2.53928,2.18848
9.226533,12.1472,-2.21904,2.09696
9.246533,11.5832,-1.89872,2.00552
9.266533,11.0264,-1.60136,1.9064
9.286533,10.4544,-1.28104,1.82248
9.306533,9.8904,-0.9532,1.70808
9.326533,9.3264,-0.64816,1.62424
9.346533,8.7616,-0.33552,1.52512
9.366533,8.2048,-0.0076,1.42592
9.386533,7.6328,0.30504,1.34208
9.406533,7.0688,0.61008,1.23528
9.426533,6.512,0.92272,1.14384
9.446533,5.94,1.24296,1.04464
9.466533,5.376,1.548,0.9532
9.486533,5.1248,1.68528,0.91504
9.506533,5.376,1.67,0.93792
9.526533,5.2008,1.67,0.93032
9.546533,5.292,1.67,0.93032
9.566533,5.2616,1.67,0.93032
9.586533,5.2616,1.67,0.93032
9.606533,5.2768,1.67,0.93032
9.626533,5.2616,1.67,0.93032
9.646533,5.2696,1.67,0.93032
9.666533,5.2696,1.67,0.93032
9.686533,5.2696,1.67,0.93032
9.706533,5.2696,1.67,0.93032
9.726533,5.2696,1.67,0.93032
9.746533,5.2696,1.67,0.93032
9.766533,5.2696,1.67,0.93032
9.786533,5.2696,1.67,0.93032
9.806533,5.2696,1.67,0.93032
9.826533,5.2696,1.67,0.93032
9.846533,5.2696,1.67,0.93032
9.866533,5.2696,1.67,0.93032
9.886533,5.2696,1.67,0.93032
9.906533,5.2696,1.67,0.93032
9.926533,5.2696,1.67,0.93032
9.946533,5.2696,1.67,0.93032
9.966533,5.2696,1.67,0.93032
9.986533,5.2696,1.67,0.93032
